qid,category_id,level,q_en,hint_en,persp_en,q_id,hint_id,persp_id
ethics-hard-04,ethics,hard,Is moral certainty sometimes dangerous?,Push the idea until it collides with a competing value or edge case.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a hard discussion, ask what breaks when two valid values collide.",Apakah kepastian moral kadang berbahaya?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
ethics-hard-05,ethics,hard,When does compromise become complicity?,Push the idea until it collides with a competing value or edge case.,"Ethics weighs duty against consequence. Kant and Mill would disagree on where the real test lies. For a hard discussion, ask what breaks when two valid values collide.",Kapan kompromi berubah menjadi ikut bersalah?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Etika menimbang kewajiban melawan konsekuensi. Kant dan Mill akan berbeda soal di mana ujian utamanya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
philosophy-easy-01,philosophy,easy,Is there any universal truth that holds for everyone?,Start with a concrete everyday case before expanding the argument.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For an easy discussion, keep the example concrete and personal.",Apakah ada kebenaran yang bersifat universal?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
philosophy-easy-02,philosophy,easy,Can doubt be a reliable path to knowledge?,Start with a concrete everyday case before expanding the argument.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For an easy discussion, keep the example concrete and personal.",Bisakah keraguan menjadi jalan yang andal menuju pengetahuan?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
philosophy-easy-03,philosophy,easy,Is reality independent of perception?,Start with a concrete everyday case before expanding the argument.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For an easy discussion, keep the example concrete and personal.",Apakah realitas independen dari persepsi kita?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
philosophy-easy-04,philosophy,easy,Can consciousness be fully explained physically?,Start with a concrete everyday case before expanding the argument.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For an easy discussion, keep the example concrete and personal.",Bisakah kesadaran dijelaskan sepenuhnya secara fisik?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
philosophy-easy-05,philosophy,easy,Can contradictions reveal deeper truth?,Start with a concrete everyday case before expanding the argument.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For an easy discussion, keep the example concrete and personal.",Bisakah kontradiksi mengungkap kebenaran yang lebih dalam?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
philosophy-medium-01,philosophy,medium,Is there any universal truth that holds for everyone?,"Test the idea against a trade-off, incentive, or unintended effect.","Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a medium discussion, add incentives, power, and long-term consequences.",Apakah ada kebenaran yang bersifat universal?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
philosophy-medium-02,philosophy,medium,Can doubt be a reliable path to knowledge?,"Test the idea against a trade-off, incentive, or unintended effect.","Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a medium discussion, add incentives, power, and long-term consequences.",Bisakah keraguan menjadi jalan yang andal menuju pengetahuan?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
philosophy-medium-03,philosophy,medium,Is reality independent of perception?,"Test the idea against a trade-off, incentive, or unintended effect.","Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a medium discussion, add incentives, power, and long-term consequences.",Apakah realitas independen dari persepsi kita?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
philosophy-medium-04,philosophy,medium,Can consciousness be fully explained physically?,"Test the idea against a trade-off, incentive, or unintended effect.","Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a medium discussion, add incentives, power, and long-term consequences.",Bisakah kesadaran dijelaskan sepenuhnya secara fisik?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
philosophy-medium-05,philosophy,medium,Can contradictions reveal deeper truth?,"Test the idea against a trade-off, incentive, or unintended effect.","Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a medium discussion, add incentives, power, and long-term consequences.",Bisakah kontradiksi mengungkap kebenaran yang lebih dalam?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
philosophy-hard-01,philosophy,hard,Is there any universal truth that holds for everyone?,Push the idea until it collides with a competing value or edge case.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a hard discussion, ask what breaks when two valid values collide.",Apakah ada kebenaran yang bersifat universal?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
philosophy-hard-02,philosophy,hard,Can doubt be a reliable path to knowledge?,Push the idea until it collides with a competing value or edge case.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a hard discussion, ask what breaks when two valid values collide.",Bisakah keraguan menjadi jalan yang andal menuju pengetahuan?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
philosophy-hard-03,philosophy,hard,Is reality independent of perception?,Push the idea until it collides with a competing value or edge case.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a hard discussion, ask what breaks when two valid values collide.",Apakah realitas independen dari persepsi kita?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
philosophy-hard-04,philosophy,hard,Can consciousness be fully explained physically?,Push the idea until it collides with a competing value or edge case.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a hard discussion, ask what breaks when two valid values collide.",Bisakah kesadaran dijelaskan sepenuhnya secara fisik?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
philosophy-hard-05,philosophy,hard,Can contradictions reveal deeper truth?,Push the idea until it collides with a competing value or edge case.,"Philosophy asks whether truth is found, made, or only described. Plato, Wittgenstein, and contemporary thinkers would frame that differently. For a hard discussion, ask what breaks when two valid values collide.",Bisakah kontradiksi mengungkap kebenaran yang lebih dalam?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Filsafat bertanya apakah kebenaran ditemukan, dibentuk, atau hanya dideskripsikan. Plato, Wittgenstein, dan pemikir kontemporer akan memetakannya secara berbeda. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
politics-easy-01,politics,easy,Is democracy the best system humanity has ever created?,Start with a concrete everyday case before expanding the argument.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For an easy discussion, keep the example concrete and personal.",Apakah demokrasi sistem terbaik yang pernah ada?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
politics-easy-02,politics,easy,Who should define the public good?,Start with a concrete everyday case before expanding the argument.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For an easy discussion, keep the example concrete and personal.",Siapa yang seharusnya menentukan kepentingan umum?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
politics-easy-03,politics,easy,Can compromise weaken democracy?,Start with a concrete everyday case before expanding the argument.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For an easy discussion, keep the example concrete and personal.",Bisakah kompromi melemahkan demokrasi?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
politics-easy-04,politics,easy,Is representation hiding inequality?,Start with a concrete everyday case before expanding the argument.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For an easy discussion, keep the example concrete and personal.",Apakah representasi justru menyembunyikan ketimpangan?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
politics-easy-05,politics,easy,When does dissent become necessary?,Start with a concrete everyday case before expanding the argument.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For an easy discussion, keep the example concrete and personal.",Kapan pembangkangan menjadi perlu?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
politics-medium-01,politics,medium,Is democracy the best system humanity has ever created?,"Test the idea against a trade-off, incentive, or unintended effect.","Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a medium discussion, add incentives, power, and long-term consequences.",Apakah demokrasi sistem terbaik yang pernah ada?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
politics-medium-02,politics,medium,Who should define the public good?,"Test the idea against a trade-off, incentive, or unintended effect.","Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a medium discussion, add incentives, power, and long-term consequences.",Siapa yang seharusnya menentukan kepentingan umum?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
politics-medium-03,politics,medium,Can compromise weaken democracy?,"Test the idea against a trade-off, incentive, or unintended effect.","Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a medium discussion, add incentives, power, and long-term consequences.",Bisakah kompromi melemahkan demokrasi?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
politics-medium-04,politics,medium,Is representation hiding inequality?,"Test the idea against a trade-off, incentive, or unintended effect.","Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a medium discussion, add incentives, power, and long-term consequences.",Apakah representasi justru menyembunyikan ketimpangan?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
politics-medium-05,politics,medium,When does dissent become necessary?,"Test the idea against a trade-off, incentive, or unintended effect.","Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a medium discussion, add incentives, power, and long-term consequences.",Kapan pembangkangan menjadi perlu?,"Uji gagasan ini dengan trade-off, insentif, atau efek tak terduga.","Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi menengah, tambahkan insentif, kekuasaan, dan konsekuensi jangka panjang."
politics-hard-01,politics,hard,Is democracy the best system humanity has ever created?,Push the idea until it collides with a competing value or edge case.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a hard discussion, ask what breaks when two valid values collide.",Apakah demokrasi sistem terbaik yang pernah ada?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
politics-hard-02,politics,hard,Who should define the public good?,Push the idea until it collides with a competing value or edge case.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a hard discussion, ask what breaks when two valid values collide.",Siapa yang seharusnya menentukan kepentingan umum?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
politics-hard-03,politics,hard,Can compromise weaken democracy?,Push the idea until it collides with a competing value or edge case.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a hard discussion, ask what breaks when two valid values collide.",Bisakah kompromi melemahkan demokrasi?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
politics-hard-04,politics,hard,Is representation hiding inequality?,Push the idea until it collides with a competing value or edge case.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a hard discussion, ask what breaks when two valid values collide.",Apakah representasi justru menyembunyikan ketimpangan?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
politics-hard-05,politics,hard,When does dissent become necessary?,Push the idea until it collides with a competing value or edge case.,"Political theory asks who gains legitimacy and who bears the cost. Rousseau, Arendt, and Dahl would not agree on the answer. For a hard discussion, ask what breaks when two valid values collide.",Kapan pembangkangan menjadi perlu?,Dorong gagasan itu sampai bertabrakan dengan nilai lain atau kasus pinggiran.,"Teori politik menanyakan siapa yang mendapat legitimasi dan siapa yang menanggung biaya. Rousseau, Arendt, dan Dahl tidak akan sepakat pada jawabannya. Untuk diskusi sulit, tanyakan apa yang runtuh ketika dua nilai yang sama-sama sah saling bertabrakan."
technology-easy-01,technology,easy,Does technology make us more connected or more lonely?,Start with a concrete everyday case before expanding the argument.,"Technology changes what people can do, and what they expect. McLuhan and Turkle both warn that tools can reshape attention and relationships. For an easy discussion, keep the example concrete and personal.",Apakah teknologi membuat kita lebih terhubung atau lebih kesepian?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Teknologi mengubah apa yang bisa dilakukan orang, sekaligus apa yang mereka harapkan. McLuhan dan Turkle sama-sama memperingatkan bahwa alat dapat membentuk perhatian dan relasi. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
technology-easy-02,technology,easy,Should convenience ever outrank autonomy?,Start with a concrete everyday case before expanding the argument.,"Technology changes what people can do, and what they expect. McLuhan and Turkle both warn that tools can reshape attention and relationships. For an easy discussion, keep the example concrete and personal.",Haruskah kenyamanan mengalahkan otonomi?,Mulailah dari kasus sehari-hari yang konkret sebelum memperluas argumennya.,"Teknologi mengubah apa yang bisa dilakukan orang, sekaligus apa yang mereka harapkan. McLuhan dan Turkle sama-sama memperingatkan bahwa alat dapat membentuk perhatian dan relasi. Untuk diskusi mudah, gunakan contoh yang konkret dan dekat dengan pengalaman sehari-hari."
